"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below."						
All submitters of data may be contacted directly via www.gisaid.org						
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
						
EPI_ISL_406959	BetaCoV/Italy/INMI1/2020	Europe / Italy / Rome	2020-01	unknown	"Virology Laboratory, INMI L. Spallanzani"	"Capobianchi,M.R., Carletti,F., Lalle,E., Bordi,L., Marsella,P., Colavita,F., Matusali,G., Nicastri,E., Ippolito,G. and Castilletti,C."
EPI_ISL_402119	BetaCoV/Wuhan/IVDC-HB-01/2019	Asia / China / Hubei / Wuhan	2019-12-30	"National Institute for Viral Disease Control and Prevention, China CDC"	"National Institute for Viral Disease Control and Prevention, China CDC"	"Wenjie Tan_Xiang Zhao_Wenling Wang_Xuejun Ma_Yongzhong Jiang_Roujian Lu, Ji Wang, Weimin Zhou_Peihua Niu_Peipei Liu_Faxian Zhan_Weifeng Shi_Baoying Huang_Jun Liu_Li Zhao_Yao Meng_Xiaozhou He_Fei Ye_Na Zhu_Yang Li_Jing Chen_Wenbo Xu_George F. Gao_Guizhen Wu"
EPI_ISL_402121	BetaCoV/Wuhan/IVDC-HB-05/2019	Asia / China / Hubei / Wuhan	2019-12-30	"National Institute for Viral Disease Control and Prevention, China CDC"	"National Institute for Viral Disease Control and Prevention, China CDC"	"Wenjie Tan_Xuejun Ma_Xiang Zhao_Wenling Wang_Yongzhong Jiang_Roujian Lu_Ji Wang_Peihua Niu, Weimin Zhou, Faxian Zhan_Weifeng Shi_Baoying Huang_Jun Liu_Li Zhao_Yao Meng_Fei Ye_Na Zhu, Xiaozhou He_Peipei Liu, Yang Li_Jing Chen_Wenbo Xu_George F. Gao_Guizhen Wu"
EPI_ISL_402120	BetaCoV/Wuhan/IVDC-HB-04/2020	Asia / China / Hubei / Wuhan	2020-01-01	"National Institute for Viral Disease Control and Prevention, China CDC"	"National Institute for Viral Disease Control and Prevention, China CDC"	Wenjie Tan_Xiang Zhao_Wenling Wang_Xuejun Ma_Yongzhong Jiang_Roujian Lu_Ji Wang_Weimin Zhou_Peihua Niu_Peipei Liu_Faxian Zhan_Weifeng Shi_Baoying Huang_Jun Liu_Li Zhao_Yao Meng_Xiaozhou He_Fei Ye_Na Zhu_Yang Li_Jing Chen_Wenbo Xu_George F. Gao_Guizhen Wu
EPI_ISL_402123	BetaCoV/Wuhan/IPBCAMS-WH-01/2019	Asia / China / Hubei / Wuhan	2019-12-24	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_402124	BetaCoV/Wuhan/WIV04/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402126	BetaCoV/Kanagawa/1/2020	Asia / Japan / Kanagawa	2020-01-14	"Dept. of Virology III, National Institute of Infectious Diseases"	"Dept. of Virology III, National Institute of Infectious Diseases"	"Naganori Nao, Kazuya Shirato, Shutoku Matsuyama, Makoto Takeda"
EPI_ISL_403962	BetaCoV/Nonthaburi/61/2020	Asia / Thailand / Nonthaburi	2020-01-08	Bamrasnaradura Hospital	"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand"	"Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha"
EPI_ISL_403963	BetaCoV/Nonthaburi/74/2020	Asia / Thailand / Nonthaburi	2020-01-13	Bamrasnaradura Hospital	"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand"	"Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha"
EPI_ISL_402127	BetaCoV/Wuhan/WIV02/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402128	BetaCoV/Wuhan/WIV05/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402129	BetaCoV/Wuhan/WIV06/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402130	BetaCoV/Wuhan/WIV07/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_403932	BetaCoV/Guangdong/20SF012/2020	Asia / China / Guandong / Shenzhen	2020-01-14	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403933	BetaCoV/Guangdong/20SF013/2020	Asia / China / Guandong / Shenzhen	2020-01-15	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403934	BetaCoV/Guangdong/20SF014/2020	Asia / China / Guandong / Shenzhen	2020-01-15	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403935	BetaCoV/Guangdong/20SF025/2020	Asia / China / Guangdong / Shenzhen	2020-01-15	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
